"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"SønderjyskE","0-4","AaB","2138","Jens Maae","Haderslev Fodboldstadion"
1991-03-16,"Silkeborg IF","0-4","AGF","4006","Anders Poulsen","Mascot Park"
1991-03-16,"Randers FC","0-1","AC Horsens","4065","Henrik Nystrup Kragh","AutoC Park Randers"
1991-03-16,"FC Midtjylland","1-0","Esbjerg fB","4895","Kenn Hansen","MCH Arena"
1991-03-16,"FC Nordsjælland","0-0","Brøndby IF","7412","Lars Christoffersen","Farum Park"
1991-03-16,"OB","2-2","FC København","9439","Michael Tykgaard","TRE-FOR Park"
1991-03-16,"Esbjerg fB","3-0","OB","6133","Jakob Kehlet","Blue Water Arena"
1991-03-16,"SønderjyskE","0-2","Silkeborg IF","2275","Jens Maae","Haderslev Fodboldstadion"
1991-03-16,"FC København","2-1","FC Nordsjælland","17838","Kenn Hansen","Parken"
1991-03-16,"AaB","4-0","Randers FC","10107","Henning Jensen","Nordjyske Arena"
1991-03-16,"Brøndby IF","2-2","AC Horsens","9164","Michael Johansen","Brøndby Stadion"
1991-03-16,"AGF","3-2","FC Midtjylland","8085","Claus Bo Larsen","NRGi Park"
1991-03-16,"AGF","2-2","SønderjyskE","6112","Michael Svendsen","NRGi Park"
1991-03-16,"FC Nordsjælland","1-1","Randers FC","5291","Jakob Kehlet","Farum Park"
1991-03-16,"AC Horsens","2-2","OB","3356","Lars Christoffersen","CASA Arena Horsens"
1991-03-16,"FC Midtjylland","1-1","Brøndby IF","9367","Michael Tykgaard","MCH Arena"
1991-03-16,"FC København","5-0","Silkeborg IF","10757","Peter Rasmussen","Parken"
1991-03-16,"AaB","0-2","Esbjerg fB","8296","Mads-Kristoffer Kristoffersen","Nordjyske Arena"
1991-03-16,"FC Nordsjælland","3-0","Esbjerg fB","4713","Jens Maae","Farum Park"
1991-03-16,"AC Horsens","1-1","FC København","4621","Henning Jensen","CASA Arena Horsens"
1991-03-16,"Silkeborg IF","2-1","AaB","2998","Lars Christoffersen","Mascot Park"
1991-03-16,"OB","1-2","AGF","9088","Kenn Hansen","TRE-FOR Park"
1991-03-16,"Randers FC","3-2","Brøndby IF","5191","Anders Poulsen","AutoC Park Randers"
1991-03-16,"FC Midtjylland","1-3","SønderjyskE","4102","Michael Johansen","MCH Arena"
1991-03-16,"OB","3-0","FC Nordsjælland","4116","Mads-Kristoffer Kristoffersen","TRE-FOR Park"
1991-03-16,"SønderjyskE","0-3","AGF","2905","Michael Tykgaard","Haderslev Fodboldstadion"
1991-03-16,"Silkeborg IF","1-1","AC Horsens","2496","Jakob Kehlet","Mascot Park"
1991-03-16,"Randers FC","2-1","FC Midtjylland","4338","Jens Maae","AutoC Park Randers"
1991-03-16,"Esbjerg fB","2-2","FC København","9337","Claus Bo Larsen","Blue Water Arena"
1991-03-16,"Brøndby IF","1-3","AaB","7070","Michael Svendsen","Brøndby Stadion"
1991-03-16,"FC Nordsjælland","3-0","Silkeborg IF","5347","Anders Poulsen","Farum Park"
1991-03-16,"AaB","2-1","SønderjyskE","6888","Jens Maae","Nordjyske Arena"
1991-03-16,"AC Horsens","0-0","Esbjerg fB","3721","Mads-Kristoffer Kristoffersen","CASA Arena Horsens"
1991-03-16,"FC Midtjylland","1-1","OB","5946","Lars Christoffersen","MCH Arena"
1991-03-16,"FC København","1-0","Brøndby IF","32341","Jakob Kehlet","Parken"
1991-03-16,"AGF","1-1","Randers FC","11661","Peter Rasmussen","NRGi Park"
1991-03-16,"FC Nordsjælland","1-0","AaB","5423","Michael Tykgaard","Farum Park"
1991-03-16,"Silkeborg IF","1-2","Randers FC","2779","Mads-Kristoffer Kristoffersen","Mascot Park"
1991-03-16,"Esbjerg fB","1-2","SønderjyskE","6494","Anders Poulsen","Blue Water Arena"
1991-03-16,"OB","2-4","AGF","8765","Jens Maae","TRE-FOR Park"
1991-03-16,"FC Midtjylland","1-1","Brøndby IF","5617","Kenn Hansen","MCH Arena"
1991-03-16,"AC Horsens","1-0","FC København","3547","Peter Rasmussen","CASA Arena Horsens"
1991-03-16,"Esbjerg fB","1-0","Silkeborg IF","4072","Jens Maae","Blue Water Arena"
1991-03-16,"SønderjyskE","1-2","FC Nordsjælland","2145","Jakob Kehlet","Haderslev Fodboldstadion"
1991-03-16,"Randers FC","0-0","AC Horsens","4360","Claus Bo Larsen","AutoC Park Randers"
1991-03-16,"Brøndby IF","0-3","OB","10590","Henning Jensen","Brøndby Stadion"
1991-03-16,"AGF","0-2","FC København","14676","Michael Svendsen","NRGi Park"
1991-03-16,"AaB","1-3","FC Midtjylland","6149","Michael Johansen","Nordjyske Arena"
1991-03-16,"AC Horsens","2-0","AGF","4228","Anders Poulsen","CASA Arena Horsens"
1991-03-16,"FC Nordsjælland","2-2","Randers FC","5331","Michael Tykgaard","Farum Park"
1991-03-16,"OB","5-0","SønderjyskE","6029","Michael Johansen","TRE-FOR Park"
1991-03-16,"Silkeborg IF","1-2","Brøndby IF","3503","Kenn Hansen","Mascot Park"
1991-03-16,"FC København","4-0","AaB","12493","Lars Christoffersen","Parken"
1991-03-16,"FC Midtjylland","0-0","Esbjerg fB","5101","Mads-Kristoffer Kristoffersen","MCH Arena"
1991-03-16,"AGF","0-2","FC Nordsjælland","7243","Henning Jensen","NRGi Park"
1991-03-16,"SønderjyskE","2-3","Silkeborg IF","1638","Claus Bo Larsen","Haderslev Fodboldstadion"
1991-03-16,"AaB","2-0","AC Horsens","5567","Jens Maae","Nordjyske Arena"
1991-03-16,"Brøndby IF","2-2","Esbjerg fB","10596","Jakob Kehlet","Brøndby Stadion"
1991-03-16,"FC København","2-1","FC Midtjylland","12016","Michael Tykgaard","Parken"
1991-03-16,"Randers FC","3-2","OB","6875","Mads-Kristoffer Kristoffersen","AutoC Park Randers"
1991-03-16,"Randers FC","0-1","AaB","7311","Jakob Kehlet","AutoC Park Randers"
1991-03-16,"Silkeborg IF","0-2","OB","3171","Anders Poulsen","Mascot Park"
1991-03-16,"Esbjerg fB","1-0","FC Nordsjælland","5755","Michael Svendsen","Blue Water Arena"
1991-03-16,"SønderjyskE","1-2","FC København","1903","Kenn Hansen","Haderslev Fodboldstadion"
1991-03-16,"Brøndby IF","2-0","AC Horsens","5299","Michael Tykgaard","Brøndby Stadion"
1991-03-16,"AGF","1-1","FC Midtjylland","5351","Michael Johansen","NRGi Park"
1991-03-16,"AC Horsens","1-3","SønderjyskE","1865","Michael Svendsen","CASA Arena Horsens"
1991-03-16,"OB","3-0","Esbjerg fB","3633","Michael Tykgaard","TRE-FOR Park"
1991-03-16,"FC Midtjylland","1-3","Silkeborg IF","3997","Jens Maae","MCH Arena"
1991-03-16,"FC København","2-0","Randers FC","10191","Claus Bo Larsen","Parken"
1991-03-16,"FC Nordsjælland","3-0","Brøndby IF","4021","Jakob Kehlet","Farum Park"
1991-03-16,"AaB","0-3","AGF","4806","Mads-Kristoffer Kristoffersen","Nordjyske Arena"
1991-03-16,"SønderjyskE","2-2","Brøndby IF","2370","Lars Christoffersen","Haderslev Fodboldstadion"
1991-03-16,"Randers FC","2-1","Esbjerg fB","2309","Anders Poulsen","AutoC Park Randers"
1991-03-16,"AC Horsens","0-2","FC Midtjylland","2631","Jakob Kehlet","CASA Arena Horsens"
1991-03-16,"FC København","4-1","FC Nordsjælland","15934","Michael Johansen","Parken"
1991-03-16,"AGF","3-3","Silkeborg IF","4559","Michael Tykgaard","NRGi Park"
1991-03-16,"AaB","2-2","OB","4775","Henning Jensen","Nordjyske Arena"
1991-03-16,"Silkeborg IF","3-2","AaB","3409","Michael Tykgaard","Mascot Park"
1991-03-16,"FC Midtjylland","1-0","SønderjyskE","4365","Claus Bo Larsen","MCH Arena"
1991-03-16,"FC Nordsjælland","1-0","AC Horsens","5112","Henrik Nystrup Kragh","Farum Park"
1991-03-16,"Brøndby IF","0-2","Randers FC","8385","Michael Svendsen","Brøndby Stadion"
1991-03-16,"OB","2-3","FC København","10314","Jakob Kehlet","TRE-FOR Park"
1991-03-16,"Esbjerg fB","2-1","AGF","5848","Mads-Kristoffer Kristoffersen","Blue Water Arena"
1991-03-16,"Randers FC","2-0","SønderjyskE","3481","Jakob Kehlet","AutoC Park Randers"
1991-03-16,"AaB","0-0","Esbjerg fB","4019","Jens Maae","Nordjyske Arena"
1991-03-16,"AC Horsens","2-0","OB","2365","Anders Poulsen","CASA Arena Horsens"
1991-03-16,"FC København","3-1","Silkeborg IF","12296","Michael Johansen","Parken"
1991-03-16,"AGF","0-3","Brøndby IF","7967","Kenn Hansen","NRGi Park"
1991-03-16,"FC Midtjylland","1-1","FC Nordsjælland","3783","Michael Tykgaard","MCH Arena"
1991-03-16,"FC København","2-1","AC Horsens","8542","Mads-Kristoffer Kristoffersen","Parken"
1991-03-16,"Randers FC","1-0","Silkeborg IF","3083","Peter Rasmussen","AutoC Park Randers"
1991-03-16,"AGF","2-1","OB","3528","Henrik Nystrup Kragh","NRGi Park"
1991-03-16,"Brøndby IF","1-1","FC Midtjylland","6086","Michael Tykgaard","Brøndby Stadion"
1991-03-16,"AaB","0-1","FC Nordsjælland","4117","Claus Bo Larsen","Nordjyske Arena"
1991-03-16,"SønderjyskE","3-1","Esbjerg fB","2868","Henning Jensen","Haderslev Fodboldstadion"
1991-03-16,"AC Horsens","2-2","AaB","3283","Michael Johansen","CASA Arena Horsens"
1991-03-16,"Silkeborg IF","0-5","SønderjyskE","2640","Michael Svendsen","Mascot Park"
1991-03-16,"OB","0-0","Randers FC","5123","Lars Christoffersen","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","4-2","AGF","4212","Anders Poulsen","Farum Park"
1991-03-16,"Esbjerg fB","1-0","Brøndby IF","8773","Jakob Kehlet","Blue Water Arena"
1991-03-16,"FC Midtjylland","2-2","FC København","8091","Kenn Hansen","MCH Arena"
1991-03-16,"SønderjyskE","0-2","Randers FC","2045","Michael Tykgaard","Haderslev Fodboldstadion"
1991-03-16,"OB","2-0","AC Horsens","4009","Henning Jensen","TRE-FOR Park"
1991-03-16,"Esbjerg fB","1-0","AaB","6618","Kenn Hansen","Blue Water Arena"
1991-03-16,"FC Nordsjælland","3-1","FC Midtjylland","5211","Jens Maae","Farum Park"
1991-03-16,"Silkeborg IF","1-0","FC København","3648","Anders Poulsen","Mascot Park"
1991-03-16,"Brøndby IF","3-2","AGF","0","Mads-Kristoffer Kristoffersen","Brøndby Stadion"
1991-03-16,"AGF","0-1","Esbjerg fB","6048","Lars Christoffersen","NRGi Park"
1991-03-16,"SønderjyskE","0-2","FC Midtjylland","2181","Peter Rasmussen","Haderslev Fodboldstadion"
1991-03-16,"AC Horsens","0-2","FC Nordsjælland","2642","Henrik Nystrup Kragh","CASA Arena Horsens"
1991-03-16,"Randers FC","0-1","Brøndby IF","7850","Claus Bo Larsen","AutoC Park Randers"
1991-03-16,"FC København","1-1","OB","17327","Michael Johansen","Parken"
1991-03-16,"AaB","1-0","Silkeborg IF","4922","Jakob Kehlet","Nordjyske Arena"
1991-03-16,"Silkeborg IF","3-1","AGF","4111","Henning Jensen","Mascot Park"
1991-03-16,"FC Midtjylland","5-2","AC Horsens","6098","Anders Poulsen","MCH Arena"
1991-03-16,"Esbjerg fB","4-0","Randers FC","7420","Jens Maae","Blue Water Arena"
1991-03-16,"Brøndby IF","0-3","SønderjyskE","0","Michael Johansen","Brøndby Stadion"
1991-03-16,"OB","3-4","AaB","7624","Mads-Kristoffer Kristoffersen","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","2-3","FC København","10300","Jakob Kehlet","Farum Park"
1991-03-16,"AGF","0-0","AC Horsens","8229","Michael Svendsen","NRGi Park"
1991-03-16,"Randers FC","0-0","FC Nordsjælland","5787","Anders Poulsen","AutoC Park Randers"
1991-03-16,"SønderjyskE","4-1","OB","3157","Kenn Hansen","Haderslev Fodboldstadion"
1991-03-16,"Brøndby IF","2-2","Silkeborg IF","12011","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"AaB","1-1","FC København","10564","Michael Johansen","Nordjyske Arena"
1991-03-16,"Esbjerg fB","0-1","FC Midtjylland","7033","Michael Tykgaard","Blue Water Arena"
1991-03-16,"Silkeborg IF","0-1","Esbjerg fB","3235","Michael Johansen","Mascot Park"
1991-03-16,"FC Nordsjælland","2-2","SønderjyskE","6655","Michael Svendsen","Farum Park"
1991-03-16,"AC Horsens","1-0","Randers FC","6698","Peter Rasmussen","CASA Arena Horsens"
1991-03-16,"OB","1-2","Brøndby IF","9418","Jakob Kehlet","TRE-FOR Park"
1991-03-16,"FC København","0-0","AGF","20670","Michael Tykgaard","Parken"
1991-03-16,"FC Midtjylland","2-3","AaB","6391","Jens Maae","MCH Arena"
1991-03-16,"Silkeborg IF","2-2","FC Nordsjælland","2941","Claus Bo Larsen","Mascot Park"
1991-03-16,"SønderjyskE","1-0","AaB","3623","Mads-Kristoffer Kristoffersen","Haderslev Fodboldstadion"
1991-03-16,"Esbjerg fB","1-0","AC Horsens","6682","Henning Jensen","Blue Water Arena"
1991-03-16,"Randers FC","1-0","AGF","6777","Lars Christoffersen","AutoC Park Randers"
1991-03-16,"Brøndby IF","0-0","FC København","21031","Kenn Hansen","Brøndby Stadion"
1991-03-16,"OB","0-1","FC Midtjylland","6317","Henrik Nystrup Kragh","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","4-1","OB","7031","Jens Maae","Farum Park"
1991-03-16,"AGF","2-1","SønderjyskE","8614","Michael Johansen","NRGi Park"
1991-03-16,"FC Midtjylland","3-0","Randers FC","6509","Jakob Kehlet","MCH Arena"
1991-03-16,"AaB","1-1","Brøndby IF","10092","Michael Tykgaard","Nordjyske Arena"
1991-03-16,"FC København","0-2","Esbjerg fB","19061","Peter Rasmussen","Parken"
1991-03-16,"AC Horsens","2-0","Silkeborg IF","4671","Lars Christoffersen","CASA Arena Horsens"
1991-03-16,"Silkeborg IF","1-1","FC Midtjylland","2973","Henrik Nystrup Kragh","Mascot Park"
1991-03-16,"Esbjerg fB","6-2","OB","9345","Jakob Kehlet","Blue Water Arena"
1991-03-16,"Brøndby IF","4-0","FC Nordsjælland","21186","Mads-Kristoffer Kristoffersen","Brøndby Stadion"
1991-03-16,"SønderjyskE","4-2","AC Horsens","4602","Kenn Hansen","Haderslev Fodboldstadion"
1991-03-16,"Randers FC","1-0","FC København","5177","Henning Jensen","AutoC Park Randers"
1991-03-16,"AGF","3-0","AaB","9585","Anders Poulsen","NRGi Park"
1991-03-16,"FC Nordsjælland","1-0","Esbjerg fB","6132","Michael Tykgaard","Farum Park"
1991-03-16,"OB","3-3","Silkeborg IF","7755","Michael Johansen","TRE-FOR Park"
1991-03-16,"AaB","2-2","Randers FC","10794","Mads-Kristoffer Kristoffersen","Nordjyske Arena"
1991-03-16,"FC København","1-1","SønderjyskE","33215","Claus Bo Larsen","Parken"
1991-03-16,"AC Horsens","0-1","Brøndby IF","9487","Jakob Kehlet","CASA Arena Horsens"
1991-03-16,"FC Midtjylland","3-2","AGF","9552","Michael Svendsen","MCH Arena"
1991-03-16,"AGF","0-2","FC Midtjylland","9364","Anders Poulsen","NRGi Park"
1991-03-16,"Viborg FF","2-2","Randers FC","4771","Michael Johansen","Energi Viborg Arena"
1991-03-16,"OB","1-1","SønderjyskE","7114","Jakob Kehlet","TRE-FOR Park"
1991-03-16,"Brøndby IF","1-1","FC Vestsjælland","18770","Mads-Kristoffer Kristoffersen","Brøndby Stadion"
1991-03-16,"AaB","2-1","FC København","7062","Michael Tykgaard","Nordjyske Arena"
1991-03-16,"Esbjerg fB","4-0","FC Nordsjælland","7594","Jens Maae","Blue Water Arena"
1991-03-16,"FC Nordsjælland","1-1","Viborg FF","5067","Peter Rasmussen","Farum Park"
1991-03-16,"FC Vestsjælland","0-2","AGF","3859","Dennis Mogensen","Slagelse Stadion"
1991-03-16,"Randers FC","1-1","OB","4852","Lars Christoffersen","AutoC Park Randers"
1991-03-16,"SønderjyskE","1-0","Brøndby IF","5700","Henrik Nystrup Kragh","Haderslev Fodboldstadion"
1991-03-16,"FC Midtjylland","1-0","FC København","8759","Kenn Hansen","MCH Arena"
1991-03-16,"Esbjerg fB","1-2","AaB","9517","Henning Jensen","Blue Water Arena"
1991-03-16,"FC Midtjylland","2-1","SønderjyskE","5145","Mads-Kristoffer Kristoffersen","MCH Arena"
1991-03-16,"AGF","2-1","FC Nordsjælland","6997","Michael Tykgaard","NRGi Park"
1991-03-16,"OB","4-2","Viborg FF","7889","Peter Kjærsgaard-Andersen","TRE-FOR Park"
1991-03-16,"FC København","1-3","Randers FC","12956","Anders Poulsen","Parken"
1991-03-16,"Brøndby IF","0-2","Esbjerg fB","14771","Jakob Kehlet","Brøndby Stadion"
1991-03-16,"FC Vestsjælland","2-1","AaB","4688","Kenn Hansen","Slagelse Stadion"
1991-03-16,"Viborg FF","2-2","Brøndby IF","9047","Lars Christoffersen","Energi Viborg Arena"
1991-03-16,"Esbjerg fB","5-1","AGF","8012","Kenn Hansen","Blue Water Arena"
1991-03-16,"Randers FC","1-3","FC Midtjylland","5064","Peter Rasmussen","AutoC Park Randers"
1991-03-16,"AaB","0-0","OB","6369","Mads-Kristoffer Kristoffersen","Nordjyske Arena"
1991-03-16,"FC Nordsjælland","2-2","FC København","7769","Michael Johansen","Farum Park"
1991-03-16,"SønderjyskE","0-0","FC Vestsjælland","2739","Michael Tykgaard","Haderslev Fodboldstadion"
1991-03-16,"FC Midtjylland","5-2","Brøndby IF","10745","Michael Tykgaard","MCH Arena"
1991-03-16,"FC Nordsjælland","2-1","AaB","4013","Jakob Kehlet","Farum Park"
1991-03-16,"FC Vestsjælland","1-1","OB","4434","Michael Johansen","Slagelse Stadion"
1991-03-16,"SønderjyskE","0-3","Viborg FF","2654","Anders Poulsen","Haderslev Fodboldstadion"
1991-03-16,"FC København","1-1","AGF","13316","Jens Maae","Parken"
1991-03-16,"Randers FC","3-2","Esbjerg fB","3850","Dennis Mogensen","AutoC Park Randers"
1991-03-16,"AGF","3-1","SønderjyskE","8925","Lars Christoffersen","NRGi Park"
1991-03-16,"OB","1-0","FC Nordsjælland","7716","Kenn Hansen","TRE-FOR Park"
1991-03-16,"Viborg FF","3-1","Esbjerg fB","5166","Jakob Kehlet","Energi Viborg Arena"
1991-03-16,"FC København","1-1","FC Vestsjælland","18778","Mads-Kristoffer Kristoffersen","Parken"
1991-03-16,"Brøndby IF","0-0","Randers FC","16086","Jens Maae","Brøndby Stadion"
1991-03-16,"AaB","1-1","FC Midtjylland","7392","Peter Kjærsgaard-Andersen","Nordjyske Arena"
1991-03-16,"OB","3-6","AGF","8069","Anders Poulsen","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","1-2","FC Vestsjælland","4179","Michael Tykgaard","Farum Park"
1991-03-16,"Esbjerg fB","1-1","FC Midtjylland","8568","Michael Johansen","Blue Water Arena"
1991-03-16,"Viborg FF","1-4","FC København","8212","Kenn Hansen","Energi Viborg Arena"
1991-03-16,"AaB","2-1","Brøndby IF","8566","Mads-Kristoffer Kristoffersen","Nordjyske Arena"
1991-03-16,"Randers FC","0-2","SønderjyskE","4015","Jakob Kehlet","AutoC Park Randers"
1991-03-16,"SønderjyskE","1-3","AaB","3123","Dennis Mogensen","Haderslev Fodboldstadion"
1991-03-16,"FC København","1-1","Esbjerg fB","20697","Jens Maae","Parken"
1991-03-16,"AGF","0-1","Viborg FF","9625","Mads-Kristoffer Kristoffersen","NRGi Park"
1991-03-16,"FC Vestsjælland","2-0","Randers FC","4181","Peter Kjærsgaard-Andersen","Slagelse Stadion"
1991-03-16,"Brøndby IF","2-1","OB","12487","Michael Johansen","Brøndby Stadion"
1991-03-16,"FC Midtjylland","2-1","FC Nordsjælland","6290","Kenn Hansen","MCH Arena"
1991-03-16,"Randers FC","3-2","AaB","5690","Jens Maae","AutoC Park Randers"
1991-03-16,"FC Midtjylland","0-0","Viborg FF","9195","Jakob Kehlet","MCH Arena"
1991-03-16,"SønderjyskE","2-0","FC Nordsjælland","2871","Anders Poulsen","Haderslev Fodboldstadion"
1991-03-16,"AGF","1-3","Brøndby IF","14488","Lars Christoffersen","NRGi Park"
1991-03-16,"FC København","2-1","OB","11008","Mads-Kristoffer Kristoffersen","Parken"
1991-03-16,"FC Vestsjælland","1-3","Esbjerg fB","5285","Michael Johansen","Slagelse Stadion"
1991-03-16,"Viborg FF","2-0","FC Vestsjælland","4532","Kenn Hansen","Energi Viborg Arena"
1991-03-16,"Brøndby IF","3-2","FC København","21798","Jakob Kehlet","Brøndby Stadion"
1991-03-16,"Esbjerg fB","4-1","SønderjyskE","7741","Peter Kjærsgaard-Andersen","Blue Water Arena"
1991-03-16,"AaB","0-0","AGF","7447","Michael Johansen","Nordjyske Arena"
1991-03-16,"OB","1-1","FC Midtjylland","8633","Michael Tykgaard","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","1-0","Randers FC","4417","Mads-Kristoffer Kristoffersen","Farum Park"
1991-03-16,"Randers FC","2-2","AGF","7025","Michael Tykgaard","AutoC Park Randers"
1991-03-16,"Esbjerg fB","1-3","OB","6967","Anders Poulsen","Blue Water Arena"
1991-03-16,"AaB","3-1","Viborg FF","6892","Jakob Kehlet","Nordjyske Arena"
1991-03-16,"FC København","2-1","SønderjyskE","12258","Michael Johansen","Parken"
1991-03-16,"FC Nordsjælland","1-1","Brøndby IF","9726","Kenn Hansen","Farum Park"
1991-03-16,"FC Midtjylland","2-2","FC Vestsjælland","6195","Dennis Mogensen","MCH Arena"
1991-03-16,"AGF","0-1","FC Nordsjælland","7040","Anders Poulsen","NRGi Park"
1991-03-16,"FC Midtjylland","1-1","Randers FC","6857","Michael Johansen","MCH Arena"
1991-03-16,"FC Vestsjælland","2-1","Esbjerg fB","3213","Peter Rasmussen","Slagelse Stadion"
1991-03-16,"Brøndby IF","0-0","Viborg FF","16607","Jens Maae","Brøndby Stadion"
1991-03-16,"FC København","3-0","AaB","13693","Michael Tykgaard","Parken"
1991-03-16,"SønderjyskE","1-5","OB","3169","Jakob Kehlet","Haderslev Fodboldstadion"
1991-03-16,"Viborg FF","4-1","FC Vestsjælland","4221","Peter Kjærsgaard-Andersen","Energi Viborg Arena"
1991-03-16,"FC Nordsjælland","2-1","FC Midtjylland","5911","Jakob Kehlet","Farum Park"
1991-03-16,"AaB","2-0","SønderjyskE","5469","Mads-Kristoffer Kristoffersen","Nordjyske Arena"
1991-03-16,"Randers FC","1-1","FC København","5506","Peter Rasmussen","AutoC Park Randers"
1991-03-16,"OB","0-0","Brøndby IF","11524","Lars Christoffersen","TRE-FOR Park"
1991-03-16,"Esbjerg fB","0-2","AGF","4165","Jens Maae","Blue Water Arena"
1991-03-16,"SønderjyskE","1-3","Randers FC","1761","Dennis Mogensen","Haderslev Fodboldstadion"
1991-03-16,"FC København","4-0","FC Nordsjælland","15397","Jakob Kehlet","Parken"
1991-03-16,"AaB","1-0","OB","5289","Anders Poulsen","Nordjyske Arena"
1991-03-16,"AGF","2-1","Viborg FF","6785","Mads-Kristoffer Kristoffersen","NRGi Park"
1991-03-16,"FC Midtjylland","3-0","Esbjerg fB","6726","Michael Tykgaard","MCH Arena"
1991-03-16,"FC Vestsjælland","0-2","Brøndby IF","5258","Michael Johansen","Slagelse Stadion"
1991-03-16,"Viborg FF","2-3","FC Midtjylland","7563","Anders Poulsen","Energi Viborg Arena"
1991-03-16,"FC Nordsjælland","3-0","SønderjyskE","3217","Michael Tykgaard","Farum Park"
1991-03-16,"OB","1-3","FC Vestsjælland","7813","Jens Maae","TRE-FOR Park"
